Claim_topic_id,Evidence_topic_id,Claim_text,Label,Evidence Label,Evidence_text,Article_topic_id,Old Reason,Reason
4,E_1,Peter Liese is a Canadian lawmaker,F,F,"The EU carbon market is responsible for 10% of the rise in electricity prices, according to Peter Liese, a German MEP who is steering the revision of the EU's Emissions Trading Scheme (ETS) in the European Parliament.",Emission trading scheme_9426,Peter Liese is a german law maker,Peter Liese is a german lawmaker not a Canadian one
4,E_2,Peter Liese is a Canadian lawmaker,F,F,"The EU carbon market is responsible for 10% of the rise in electricity prices, according to Peter Liese, a German MEP who is steering the revision of the EU's Emissions Trading Scheme (ETS) in the European Parliament.",Emission trading scheme_9426,Peter Liese is a german MEP,
4,E_3,Peter Liese is a Canadian lawmaker,F,N,"There are many points where the Parliament and Council agree in principle, the lead ETS negotiator Peter Liese said after the first trilogue in July.",Emission trading scheme_9432,,
4,E_4,Peter Liese is a Canadian lawmaker,F,F,"German lawmaker Peter Liese, who is drafting the European Parliament's position on the reforms, on Wednesday proposed an amendment that would lower the bar for policymakers to release more permits at times of rapid price rises.",Emission trading scheme_9464,States that Peter Liese is a german lawmaker,
4,E_5,Peter Liese is a Canadian lawmaker,F,F,"Peter Liese, a German Christian Democrat who steered the original law through the European Parliament and led the debate on the stop the clock one-year suspension, said he was disappointed with the Montreal deal.",Emission trading scheme_9663,Peter Liese is a german law maker,
4,E_6,Peter Liese is a Canadian lawmaker,F,F,"The plan, by German lawmaker Peter Liese, aims to overcome opposition from some EU countries and lawmakers worried about the social impact if the CO2 price hiked households' bills.",Emission trading scheme_9510,Peter Liese is a german law maker,
5,E_1,The EU Emisson tradding schem (ETS) was launched in 2005,T,T,The EU Emissions Trading System (the EU ETS) is one of the key pillars of the EU's policy to combat climate change and to reduce greenhouse gas emissions from regulated sectors. It was launched in 2005,Emission trading scheme_9387,States that the ETS was launched in 2005,The EU emissions tradding scheme was lauched in 2005 as a key pillar or EU policy.
5,E_2,The EU Emisson tradding schem (ETS) was launched in 2005,T,N,"The data set also includes information on auctions of allowances, compiled from auctioning platforms, as well as EEA estimates of ETS emissions for the period 2005 to 2012, to reflect the current scope of the ETS for the third trading period (20132020).",Emission trading scheme_9410,The dataset about the european ETS starts in 2005 but does not state if this is when the ets was launched,
5,E_3,The EU Emisson tradding schem (ETS) was launched in 2005,T,N,The Emissions Trading Scheme is one of the most important drivers of the changes needed to have any hope of avoiding the catastrophic impacts of climate change. Photo: PHOTO NZSince it was launched nearly 15 years ago it has been under constant reform - and the government is working on yet more changes right now,Emission trading scheme_9417,An ets was launched 15 years prior to article publication but it was New Zealand's ets.,
5,E_4,The EU Emisson tradding schem (ETS) was launched in 2005,T,T,The EU's Emissions Trading System (ETS) was launched in 2005 as a major pillar of the EU's climate policy and is renowned as being the world's largest scheme for trading greenhouse gas emission allowances.,Emission trading scheme_9751,The EU ets was launched in 2005,
5,E_5,The EU Emisson tradding schem (ETS) was launched in 2005,T,T," In 2005, the world's first EU ETS was established, which adopted a decentralized governance model and greatly reduced global greenhouse gas emissions.",Emission trading scheme_9403,The EU ETS was established in 2005,
5,E_6,The EU Emisson tradding schem (ETS) was launched in 2005,T,T," ETS initiatives have been implemented around the world for a long time, with the EU-ETS scheme being the first international carbon market established in 2005.",Emission trading scheme_9430,The EU ETS was the first international carbon market established in 2005,
6,E_1,The EU Emisson tradding schem (ETS) was launched in 2010,F,F,The EU Emissions Trading System (the EU ETS) is one of the key pillars of the EU's policy to combat climate change and to reduce greenhouse gas emissions from regulated sectors. It was launched in 2005,Emission trading scheme_9387,States that the ETS was launched in 2005,The EU emissions tradding scheme was lauched in 2005 as a key pillar or EU policy.
6,E_2,The EU Emisson tradding schem (ETS) was launched in 2011,F,F,"Since its launch in 2005, the EU ETS has been subject to considerable changes and developments.",Emission trading scheme_9387,The ETS was established in 2005,
6,E_3,The EU Emisson tradding schem (ETS) was launched in 2012,F,N,"The data set also includes information on auctions of allowances, compiled from auctioning platforms, as well as EEA estimates of ETS emissions for the period 2005 to 2012, to reflect the current scope of the ETS for the third trading period (20132020).",Emission trading scheme_9410,The data range implies that the EU ets was established in 2005,
6,E_4,The EU Emisson tradding schem (ETS) was launched in 2013,F,F,"ETS initiatives have been implemented around the world for a long time, with the EU-ETS scheme being the first international carbon market established in 2005.",Emission trading scheme_9430,The EU ETS was the first international carbon market established in 2005,
6,E_5,The EU Emisson tradding schem (ETS) was launched in 2014,F,F,"The EU emissions trading scheme, in place since 2005, applies to industrial companies across the bloc, of which 1,000 are in France.",Emission trading scheme_9437,The ETS was established in 2005,
6,E_6,The EU Emisson tradding schem (ETS) was launched in 2015,F,F," Other ETS, including the world's second-largest in Europe, also took time to get established, but trading volumes have increased steadily since its launch in 2005.",Emission trading scheme_9438,The ETS was launched in 2005,
7,E_1,India is looking to create it's own carbon market,T,T,The Indian government has green-lighted the creation of a national carbon market that will be key to decarbonising heavy industry and helping shape international carbon trading.,Emission trading scheme_9390,The ECA bill will enable the creation of a carbon credit trading scheme which is similar to the eu ets.,The Indian government is aiming to establish a carbon market.
7,E_2,India is creating it's own carbon market,T,T," Among other things, the bill proposes a momentous carbon market framework in India to incentivize carbon emission reduction.",Emission trading scheme_9505,It states that the indian government has begun the process of creating it's own carbon market similar to the EU ets.,
7,E_3,India is creating it's own carbon market,T,T,"The aim is to reduce emissions and to pursue a low carbon path more vigorously  providing an opportunity to re-imagine and refresh the development paradigm, the draft read",Emission trading scheme_9397,A draft for a proposed indian carbon market,
7,E_4,India is creating it's own carbon market,T,T,"The Wire Science spoke to Maria Chirayil and Ashok Sreenivas, co-authors of the Prayas report, to understand the manner in which emissions are currently regulated (or not) in India and the implications for the carbon market",Emission trading scheme_9397,Discussion of a proposed carbon market in india,
7,E_5,India is creating it's own carbon market,T,T,"India is on track to establish a nationwide carbon market. In August, Lok Sabha passed a Bill to amend the Energy Conservation Act 2001 to provide a legal basis for the market. Essentially, the government will set quotas for allowable emissions and allow companies that successfully reduce their emissions to below the threshold to sell the balance as carbon credits' to others who haven't done so.",Emission trading scheme_9397,India is on track to establish a carbon market.,
7,E_6,India is creating it's own carbon market,T,N,India needs to develop Carbon Pricing Instruments.,Emission trading scheme_9415,Climate pricing instruments are not the same as a carbon market but are used in one.,
8,E_1,India has an ETS,F,F,"The creation of a national carbon market in India, depending on its institutional setup, policy integration, and design could offer a mechanism for reducing emissions, or it could result in serious economic costs.",Emission trading scheme_9390,India is planning to create a carbon market,The Indian government is aiming to establish a carbon market but there is currently only piolt programs
8,E_2,India has an ETS,F,F,"A planned national carbon market for India, the world's third-largest emitter, could become one of the biggest mitigation experiments ever attempted, getting the country on track to meet its net-zero greenhouse gas emissions goal by the promised date of 2070.",Emission trading scheme_9390,India is planning to create a carbon market,
8,E_3,India has an ETS,F,F,India is on track to establish a nationwide carbon market,Emission trading scheme_9397,India is planning to create a carbon market,
8,E_4,India has an ETS,F,F," India needs to develop Carbon Pricing Instruments. Carbon pricing can take the form of Carbon Tax or Crediting, or a Carbon Emission Trading scheme ~ a cap-and-trade system that depends on government allotments or permits.",Emission trading scheme_9415,India currently does not have any of these carbon systems,
8,E_5,India has an ETS,F,N,"India's first experience with ETS was a pilot scheme for particulate matter (PM), introduced in 2019 in Surat, Gujarat.",Emission trading scheme_9422,India has a piolt scheme for a carbon market implying it does not currently have a nation wide market.However there is insufiient evidence to support this,
8,E_6,India has an ETS,F,N,"The Wire Science spoke to Maria Chirayil and Ashok Sreenivas, co-authors of the Prayas report, to understand the manner in which emissions are currently regulated (or not) in India and the implications for the carbon market",Emission trading scheme_9397,Disccusing a carbon market could mean that a market exists in India,
9,E_1,The EU Emission trading schemes aim to increase the amount of co2 being produced by participating countries.,F,F,Proponents of cap and trade argue that it is a palatable alternative to acarbon tax. Both measures are attempts to reduce environmental damage without causing undue economic hardship to the industry.,Emission trading scheme_9561,The article outlines that a cap and trade system reduces impacts to the enviroment without causing economic hardships.,The EU emissions tradding scheme aims to reduce emssions including co2
9,E_2,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,F,"There are a number of industrial decarbonisation schemes, including energy efficiency and emissions trading schemes, that we administer for the UK and regulate in England. At the heart of all these schemes is the goal of reducing greenhouse gas emissions with a particular focus on carbon emissions.",Emission trading scheme_9392,The UK is seeking to reduce emsissions through there enviromental tradding scheme which is modeled on the european union ets,
9,E_3,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,F,"We regulate more than 10,000 organisations in the UK and in 2021, we successfully delivered compliance rates of over 95% for the:The UK Emissions Trading Scheme (UK ETS) and Ozone-Depleting Substances and Fluorinated Greenhouse Gases Regulations replaced UK participation in the European regulations and systems from January 2021.In 2021, we continued to support the government's EU Exit strategy and the transition of these schemes to the UK.",Emission trading scheme_9392,The UK is seeking to reduce emsissions through there enviromental tradding scheme which is modeled on the european union ets,
9,E_4,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,N,Brexit is a considerable opportunity to simplify and reform EU legacy legislation for the better.,Emission trading scheme_9392,,
9,E_5,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,N,The European Parliament has adopted a common position on the European Emissions Trading Scheme (EU-ETS) reform and the bloc's forthcoming carbon border tax (CBAM) following a compromise between the biggest parties.,Emission trading scheme_9386,,
9,E_6,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,N,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax.",Emission trading scheme_9399,,
10,E_1,The EU Emission trading scheme aims to reduce emissions,T,N,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax.",Emission trading scheme_9399,,The EU emissions tradding scheme aims to reduce emssions 
10,E_2,The EU Emission trading scheme aims to reduce emissions,T,N,European Union Commission President Ursula von der Leyen on Tuesday (30 August) rebuffed a call by Polish Prime Minister Mateusz Morawiecki to temporarily suspend the EU's Emission Trading System (ETS) in order to stabilise power prices.,Emission trading scheme_9405,,
10,E_3,The EU Emission trading scheme aims to reduce emissions,T,N,"Although cap and trade systems reduce emissions and can lead to faster cuts in pollution, they also tend to increase the price of oil, coal, and natural gas in an effort to force companies to switch to alternative forms of energy.",Emission trading scheme_9561,,
10,E_4,The EU Emission trading scheme aims to reduce emissions,T,T,The EU ETS is a cornerstone of the EU's policy to combat climate change and a key tool for curbing greenhouse gas emissions cost-effectively.,Emission trading scheme_9743,The EU is using the ETS to reduce greenhouse gas emissions and applies to all countries within the EU.,
10,E_5,The EU Emission trading scheme aims to reduce emissions,T,T,"To achieve the EU's overall greenhouse gas emissions reduction target for 2030, the sectors covered by the EU Emissions Trading System (EU ETS) must reduce their emissions by 43% compared to 2005 levels.",Emission trading scheme_9737,The EU ETS is being used as a tool to reduce EU members emissions.,
10,E_6,The EU Emission trading scheme aims to reduce emissions,T,T,"To increase the pace of emissions cuts, the overall number of emission allowances will decline at an annual rate of 2.2% from 2021 onwards, compared to 1.74% currently.",Emission trading scheme_9737,The Eu is increasing the pace of emission cuts,
11,E_1,Agriculture is a small emission sector,F,F,"Given that the agricultural sector accounts for 50% of NZ's gross emissions, approximately 94% of N20 emissions and 91% of biogenic methane emissions[4], it is critical that agriculture contributes to meeting NZ's climate goals",Emission trading scheme_9562,,Agriculture is a major contributor to greenhouse gas emissions
11,E_2,Agriculture is a small emission sector,F,N,"Sectors that must act to mitigate climate change include energy, transportation, waste management, manufacturing, agriculture and forestry, it said",Emission trading scheme_9495,,
11,E_3,Agriculture is a small emission sector,F,F,"The scheme is very effective because of that reach - although agriculture, which is a major emitter, is not covered and has been allowed instead to work with government officials to come up with a plan to price emissions by 2025 as an alternative to the ETS",Emission trading scheme_9417,States that the agriculture sector is a large emiter,
11,E_4,Agriculture is a small emission sector,F,F,"But it will take time for the country to make the large cuts needed in transport and agriculture, and to electrify factory processes, and tree planting will always be part of the mix to offset unavoidable emissions",Emission trading scheme_9417,Implies that agriculture is a large emiter ,
11,E_5,Agriculture is a small emission sector,F,F,"Meanwhile, there are fears that long-term overplanting exotics could also lead to lower ETS prices, disincentivising investment and innovation in low-carbon technology and suppressing moves to make actual reductions in emissions.",Emission trading scheme_9417,supports the idea that argiculture is a large carbon emiter,
11,E_6,Agriculture is a small emission sector,F,N,".The UK, Scottish and Welsh Governments and Northern Ireland Department of Agriculture, Environment and Rural Affairs  collectively making up the UK ETS Authority  have established the scheme to increase the climate ambition of the UK's carbon pricing policy, while protecting the competitiveness of UK businesses.",Emission trading scheme_9477,,
12,E_1,Agriculture is a large emitter,T,T,But Robertson said the agricultural sector was too big an emitter - nearly 50 percent of the total - not to take action as quickly as possible.,Emission trading scheme_9543,,Agriculture is a major contributor to greenhouse gas emissions
12,E_2,Agriculture is a large emitter,T,N,"Agriculture is a major winner in the government's plan to cut emissions, despite farmers having yet to pay a cent into the pot of money set aside for climate spending.",Emission trading scheme_9543,,
12,E_3,Agriculture is a large emitter,T,N,The Climate Change Minister and Minister of Agriculture are required by the Climate Change Response Act 2002 (CCRA) to report on a pricing system by 31 December 2022.,Emission trading scheme_9562,,
12,E_4,Agriculture is a large emitter,T,T,"Likewise, agriculture is a significant source of environmental emissions and incidents.",Emission trading scheme_9392,Argiculture is a source of enviromental emissions,
12,E_5,Agriculture is a large emitter,T,T,"Recent years have seen SOx emissions from regulated facilities fall by 90%, while ammonia emissions, mainly from farms that are not regulated by the Environment Agency, have not fallen.",Emission trading scheme_9392,Farms are a source of ammonia emissions,
12,E_6,Agriculture is a large emitter,T,T, It calls for evidence on how we might improve the measuring of agricultural emissions to support future decarbonisation policy; whether this would be done though the UK ETS or by a different means. Other high emitting sectors will be considered at a later point.,Emission trading scheme_9412,Argiculture is one of many high emissions industries within the United kingdom,
13,E_1,The EU is aiming to half shipping emissions by 2050,N,T,"Looking ahead, shipping is set to be included in the EU's Emission Trading Scheme (meaning carbon permits will be required for voyages in EU waters), while the International Maritime Organisation  the UN body that regulates shipping  has pledged that by 2050 the industry's emissions will be half their 2008 levels.",Emission trading scheme_9393,The EU is aiming to half the emissions of shipping by 2050 with the emssions meausered against emission levels in 2008.,There is limited evidence to suggest that the EU is planning to halve it's shipping emissions
13,E_2,The EU is aiming to half shipping emissions by 2050,N,N,"The shipping industry's regulator,the International Maritime Organization (IMO),has set a rather underwhelming target of cutting greenhouse emissions in half by 2050",Emission trading scheme_9399,The international shipping body is setting a target not the EU.,
13,E_3,The EU is aiming to half shipping emissions by 2050,N,N,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax.",Emission trading scheme_9399,The EU is aiming to reduce emissions through it's emissions trading scheme however no target emssion reduction is stated.,
13,E_4,The EU is aiming to half shipping emissions by 2050,N,T,"On 14 July 2021, the European Commission adopted a series of legislative proposals setting out how it intends to achieve climate neutrality in the EU by 2050, including the intermediate target of an at least 55% net reduction in greenhouse gas emissions by 2030.",Emission trading scheme_9737,The EU is planning to be carbon neutral in 2050 with a target of 50% emission reduction by 2030,
13,E_5,The EU is aiming to half shipping emissions by 2050,N,N,"The committee also agreed to expand the ETS scheme to cover shipping emissions from 2024 and to accelerate the phase-out of free allowances in a bid to speed up the decarbonisation of industries like cement, steel and chemicals.",Emission trading scheme_9483,No mention of a reduction target.,
13,E_6,The EU is aiming to half shipping emissions by 2050,N,N,Last July the European Commission proposed adding shipping to the ETS gradually from 2023 until 2026 when shipowners would need to buy permits covering all their emissions inside the EU and 50% of their emissions from international voyages starting and ending in the EU.,Emission trading scheme_9442,The EU is imposing restrictions on shipping emissions but it is not stated to be fufilling an EU target.,
14,E_1,James Shaw is New Zealands climate change minister,T,T,"It has been a very long journey and it is well past time we got going, said James Shaw, the climate change minister and Green party co-leader, adding that working with farmers to reduce emissions was a priority, rather than relying on offsetting emissions through forestry",Emission trading scheme_9394,James Shaw is New Zealands climate change minister.,James Shaw is New Zealands climate change minister 
14,E_2,James Shaw is New Zealands climate change minister,T,N,Climate change: James Shaw distances himself from agricultural emissions group proposals,Emission trading scheme_9575,James Shaw is a New Zealander but the article doesn't specify his position,
14,E_3,James Shaw is New Zealands climate change minister,T,T," New Zealand has a ""Herculean task to do in a nine-year period because we\'ve been a bit late getting started on reducing emissions, like many other countries"", climate change minister James Shaw said at the signing ceremony at the UN Cop 26 climate summit in Glasgow.",Emission trading scheme_9600,,
14,E_4,James Shaw is New Zealands climate change minister,T,T,Marc Daalder explains Climate Change Minister James Shaw rang the NZX bell in Wellington to mark the start of the first ever auction of carbon credits under the Emissions Trading Scheme.,Emission trading scheme_9610,,
14,E_5,James Shaw is New Zealands climate change minister,T,N,Climate change: James Shaw distances himself from agricultural emissions group proposals,Emission trading scheme_9575,,
14,E_6,James Shaw is New Zealands climate change minister,T,T,"New Zealand has a ""Herculean task to do in a nine-year period because we\'ve been a bit late getting started on reducing emissions, like many other countries"", climate change minister James Shaw said at the signing ceremony at the UN Cop 26 climate summit in Glasgow.",Emission trading scheme_9600,,
15,E_1,Jacinda Ardern is New Zealands Climate Change Minister,F,N,"Given the failure that is vocational education provider Te Pukenga, its lack of accountability with Te Whatu Ora and the reaction to its Three Waters programme, Jacinda Ardern is now under increasing pressure to show voters that the agriculture emissions scheme must be more than a proposal and become reality.",Emission trading scheme_9679,,James Shaw is New Zealands climate change minister 
15,E_2,Jacinda Ardern is New Zealands Climate Change Minister,F,F,New Zealand Prime Minister Jacinda Ardern has sparked controversy over a proposed farmers tax on cow and sheep gases to reduce greenhouse emissions.,Emission trading scheme_9763,,
15,E_3,Jacinda Ardern is New Zealands Climate Change Minister,F,F,"It has been a very long journey and it is well past time we got going, said James Shaw, the climate change minister and Green party co-leader, adding that working with farmers to reduce emissions was a priority, rather than relying on offsetting emissions through forestry",Emission trading scheme_9394,James Shaw is New Zealands climate change minister.,
15,E_4,Jacinda Ardern is New Zealands Climate Change Minister,F,F,"There is no question that we need to cut the amount of methane we are putting into the atmosphere, and an effective emissions pricing system for agriculture will play a key part in how we achieve that,"" New Zealand\'s climate change minister James Shaw said.",Emission trading scheme_9753,,
15,E_5,Jacinda Ardern is New Zealands Climate Change Minister,F,N,New Zealand has unveiled a plan to tax sheep and cattle burps in a bid to tackle one of the country's biggest sources of greenhouse gases.,Emission trading scheme_9753,,
15,E_6,Jacinda Ardern is New Zealands Climate Change Minister,F,N,Press Release  ACT New ZealandThe targets set by James Shaw under the Zero Carbon Act were never achievable and the High Courts recent ruling proves it.,Emission trading scheme_9871,,
16,E_1,Indoniessia has an ETS,F,F,"The intended collaboration centers around IDX's emission trading scheme that is slated to launch in 2025, and MVGX's job is to help IDX build a carbon registry and exchange with blockchain as the infrastructure layer, TechCrunch's Rita Liao reports.",Emission trading scheme_9395,Indonisea has partnered with MVGX's to build a carbon-registrey but does not currently have one,"Indonisea does not currently have an establsihed ETS, instead it is investigating the best way to implement one."
16,E_2,Indoniessia has an ETS,F,F,Indonesia's scheme will not be a classic cap-and-trade system as it will not limit the total emissions of coal-fired power plants. In some ways it will operate more like a baseline-and-credit system that sets different benchmarks for different categories of coal-fired power plants.,Emission trading scheme_9408,Phrasing implies indoniessa does not have a carbon exchange,
16,E_3,Indoniessia has an ETS,F,F,"View all partnersSenior Analyst, Climateworks CentreSenior Analyst (Economics and Governance), Climateworks CentreIndonesia, one of the biggest emitters  in the world, is planning to launch its pilot emissions trading scheme in July, which can possibly become the first national carbon market in Southeast Asia.",Emission trading scheme_9408,Indioniessia is launching a piolt emission tradding scheme but does not currently have one implemented,
16,E_4,Indoniessia has an ETS,F,F,"View all partnersSenior Analyst (Economics and Governance), Climateworks CentreSenior Analyst, Climateworks CentreIndonesia, one of the world's biggest coal producers and greenhouse emitters, plans to launch its pilot emissions trading scheme in July, which can possibly lead to the implementation of the first national carbon market in Southeast Asia.",Emission trading scheme_9414,,
16,E_5,Indoniessia has an ETS,F,N,"Indonesia plans to bring forward its peak in greenhouse gas (GHG) emissions from electricity generation, following Jarkata's agreement to a plan co-led by the US and Japan that will require $20bn in public and private financing over a 3-5 year period.",Emission trading scheme_9614,,
16,E_6,Indoniessia has an ETS,F,N,"The Oceania nation, situated north of Australia and neighbouring Indonesia, has over 90 per cent of its 463,000 km_ of land covered by forests, but logging and commercial farming in the early years of this centuryhave caused 0.5 per cent of its forests to be lost annually, according to a US-based group, Coalition for Rainforest Nations.",Emission trading scheme_9638,"Indonisea does not currently have an establsihed ETS, instead it is investigating the best way to implement one.",
17,E_1,The safe guard mechanisim was introduced by the Austrailen coalition government,N,T,"For people deeply embedded in the mechanics of how governments plan to cut greenhouse gas emissions, the safeguard mechanism has become a reasonably familiar subject since it was introduced by the Coalition six years ago  even though the Morrison government and its predecessors didn't like to talk about it much.",Emission trading scheme_9400,The coalition lead by Morrison introduced the safeguard mechanism,
17,E_2,The safe guard mechanisim was introduced by the Austrailen coalition government,N,N,"Yes, if Labor's much-anticipated paper on fixing Australia's mediocre emissions-reduction framework, released today, is any guide.At present, Australia relies on the controversial safeguard mechanism to encourage big emitters such as fossil fuel power plants and manufacturers to reduce their pollution.This framework  alongside the Emissions Reduction Fund  was introduced during the Coalition years to reduce carbon dioxide pollution at low cost.",Emission trading scheme_9420,The coalitionintroduced the safeguard bill,
17,E_3,The safe guard mechanisim was introduced by the Austrailen coalition government,N,N,"As well as the review into ACCUsthe federal government has also initiated a review into the Safeguard Mechanism, which will put requirements on the big polluters to shrink their emissions.",Emission trading scheme_9752,There is some evidence to suggest that the Australian coallition established the safeguard policy however not enough to verify it.,There is some evidence to suggest that the Australian coallition established the safeguard policy however not enough to verify it.
17,E_4,The safe guard mechanisim was introduced by the Austrailen coalition government,N,N,"The surge in activity is a sign of growing confidence that Climate Change and Energy Minister Chris Bowen's safeguard mechanism changes are on track to begin in July, and suggests some investors are betting Ian Chubb's review of Australian Carbon Credit Units (ACCUs) will remove doubts about the credibility of some credits.",Emission trading scheme_9795,,
17,E_5,The safe guard mechanisim was introduced by the Austrailen coalition government,N,T,Not mentioned by the Daily Telegraph either is that the safeguard mechanism  covering the 215 biggest polluting facilities  was introduced by the Coalition and designed to eventually cut emissions from heavy industry,Emission trading scheme_9868,,
17,E_6,The safe guard mechanisim was introduced by the Austrailen coalition government,N,N,"The question is, will Labor seize the chance to move away from them, and instead reduce emissions?What's the best way forward for Australia?Let's say Labor's tweaks to the safeguard mechanism become law.",Emission trading scheme_9873,,
18,E_1,The New Zealand Green Party implemented a windfall tax,N,F,"Last week, the Green Party released a discussion document on what it's called an excess profits tax.",Emission trading scheme_9402,The Green party released a discusion about a windfall tax.,The New Zealand Green party has proposed a windfall tax but it has not yet been implemented
